,id_votacion,fecha,materia,resultado,a favor,en contra,abstencion,no vota
1066,2188,2022-02-16T23:56:48,"Artículo 11.- De la postulación y cesación a los cargos de las entidades territoriales. La elección de las y los representantes por votación popular de las entidades territoriales se efectuará asegurando la paridad de género, la probidad, la representatividad territorial, la pertenencia territorial, avecindamiento y la representación efectiva  de los pueblos y naciones preexistentes al Estado.

La Constitución y la ley establecerán los requisitos para la postulación y las causales de cesación de dichos cargos. La calificación y procedencia de estas causales de cesación se realizará a través de un procedimiento expedito ante la justicia electoral, en conformidad a la ley.",APROBADO,117,28,8,2
1065,2189,2022-02-16T23:59:14,"Artículo 12.- Principio de no tutela entre entidades territoriales. Ninguna entidad territorial podrá ejercer cualquier forma de tutela sobre otra entidad territorial, sin perjuicio de la aplicación de los principios de coordinación, de asociatividad, de solidaridad, y los conflictos de competencias que puedan ocasionarse.",APROBADO,146,2,5,2
1224,2267,2022-02-18T15:16:30,"1.- Votación separada del inciso primero del artículo 1:

&quot;Artículo 1.- Del Estado Regional. Chile es un Estado Regional, plurinacional e intercultural conformado por entidades territoriales autónomas, en un marco de equidad y solidaridad entre todas ellas, preservando la unidad e integridad del Estado.&quot;",APROBADO,112,34,2,7
1223,2268,2022-02-18T15:20:14,"2.- MENA, Indicación Nº2: 

Para sustituir, en el encabezado del artículo 1, la expresión “Regional” por “Descentralizado”.
",RECHAZADO,41,111,0,3
1222,2269,2022-02-18T15:23:59,"3.- MENA, Indicación Nº6: 

Para sustituir, en el inciso primero del artículo 1, la expresión “Regional” por “política, administrativa y fiscalmente descentralizado”",RECHAZADO,40,112,0,3
1221,2271,2022-02-18T15:29:34,"4.- Votación separada del inciso segundo del artículo 1:

&quot;El Estado promoverá la cooperación, la integración armónica y el desarrollo adecuado y justo entre las diversas entidades territoriales.&quot;",APROBADO,150,1,0,4
1220,2272,2022-02-18T15:34:16,"7.- Votación separada del inciso primero del artículo 2:

&quot;Artículo 2.- De las Entidades Territoriales. El Estado se organiza territorialmente en regiones autónomas  , comunas autónomas, autonomías territoriales indígenas y territorios especiales.&quot;
",APROBADO,107,45,0,3
1219,2273,2022-02-18T15:37:12,"8.- Votación separada del inciso segundo del artículo 2:

&quot;Las regiones autónomas , autonomías territoriales indígenas y las comunas autónomas cuentan con personalidad jurídica, estatuto y patrimonio propio, con las potestades y competencias necesarias para autogobernarse, teniendo como límite el interés general y la delimitación de competencias establecidas de acuerdo con la Constitución y la ley.&quot;",RECHAZADO,99,53,1,2
1218,2274,2022-02-18T15:40:18,"11.- MENA, Indicación Nº41: para agregar (intercalar), en el artículo 2, el siguiente inciso nuevo entre los incisos segundo y tercero: 

“Las provincias estarán a cargo de un órgano desconcentrado territorialmente del gobierno central, que se limitará a desempeñar funciones de coordinación y ejecución de asuntos administrativos en la forma prescrita por la Constitución y las leyes” 
",RECHAZADO,49,101,3,2
1217,2275,2022-02-18T15:44:53,".- Votación separada del inciso tercero del artículo 2:

La creación, modificación, delimitación y supresión de las entidades territoriales deberá considerar criterios objetivos en función de antecedentes históricos, geográficos, sociales, culturales, ecosistémicos y económicos, garantizando la participación popular, democrática y vinculante de sus habitantes, de acuerdo con la Constitución y la ley.

",APROBADO,103,44,5,3
1216,2276,2022-02-18T15:47:38,"13.- Votación separada del inciso primero del artículo 3:

&quot;Artículo 3.- Del Territorio. Chile, en su diversidad geográfica, natural, histórica y cultural, forma un territorio único e indivisible.&quot;",APROBADO,120,27,6,2
1215,2277,2022-02-18T15:50:24,"14.- Votación separada del inciso segundo del artículo 3:

&quot;Los límites del territorio son los que establecen las leyes y los tratados internacionales. La soberanía y jurisdicción sobre el territorio se ejerce de acuerdo a la Constitución, las leyes y los tratados internacionales ratificados y vigentes en Chile.&quot;",RECHAZADO,81,68,3,3
1214,2278,2022-02-18T15:54:25,"15.- Votación separada del inciso primero del artículo 4:

&quot;Artículo 4.- Del Maritorio. Chile es un país oceánico conformado por los ecosistemas marinos y marino-costeros continentales, insulares y antárticos, así como por las aguas, el lecho y el subsuelo existentes en el maritorio, la zona contigua, la zona económica exclusiva, la plataforma continental y su extensión.&quot;",RECHAZADO,92,59,1,3
1213,2279,2022-02-18T15:56:54,"16.- Votación separada del inciso segundo del artículo 4:

&quot;El maritorio chileno, como parte del territorio, está integrado por el mar territorial, las aguas interiores y la zona costera. El Estado reconoce las diferentes formas de relación entre los pueblos originarios y comunidades costeras con el maritorio, respetando y promoviendo sus usos consuetudinarios y locales, considerándolo un espacio integral de convivencia entre lo tangible y lo intangible.&quot;
",RECHAZADO,100,51,1,3
1212,2280,2022-02-18T15:59:24,"17.- Votación separada del inciso tercero del artículo 4:

&quot;Es deber del Estado proteger los espacios y ecosistemas marinos y marino-costeros, propiciando las diversas vocaciones y usos asociados a ellos, y asegurando, en todo caso, su preservación, conservación y restauración ecológica. La ley establecerá su ordenación espacial y gestión integrada, mediante un trato diferenciado, autónomo y descentralizado, según corresponda, en base a la equidad y justicia territorial.&quot;",APROBADO,110,40,2,3
1211,2281,2022-02-18T16:02:20,"18.- Votación separada del inciso primero del artículo 5:

&quot;Artículo 5.- De la Autonomía de las entidades territoriales. Las regiones autónomas, comunas autónomas y autonomías territoriales indígenas están dotadas de autonomía política, administrativa y financiera para la realización de sus fines e intereses en los términos establecidos por la presente Constitución y la ley.&quot;
",APROBADO,108,40,5,2
1210,2282,2022-02-18T16:04:47,"19.- Votación separada del inciso segundo del artículo 5:

&quot;En ningún caso el ejercicio de la autonomía podrá atentar en contra del carácter único e indivisible del Estado de Chile, ni permitirá la secesión territorial.&quot;
",APROBADO,146,2,3,4
1209,2283,2022-02-18T16:07:49,"20.- Votación separada del inciso segundo del artículo 6:

&quot;Dos o más entidades territoriales, con o sin continuidad territorial, podrán pactar convenios y constituir asociaciones territoriales con la finalidad de lograr objetivos comunes, promover la cohesión social, mejorar la prestación de los servicios públicos, incrementar la eficiencia y eficacia en el ejercicio de sus competencias y potenciar el desarrollo social, cultural, económico sostenible y equilibrado.&quot;",APROBADO,122,18,11,4
1208,2284,2022-02-18T16:10:19,"21.- Votación separada del inciso tercero del artículo 6:

&quot;El Estado promoverá y apoyará la cooperación y asociatividad con las entidades territoriales y entre ellas, garantizando su plena autonomía. La ley establecerá las bases generales para la creación y funcionamiento de estas asociaciones, en concordancia de la legislación regional que se dicte al efecto.&quot;",RECHAZADO,101,20,31,3
1207,2285,2022-02-18T16:12:43,"22.- Votación del artículo 6, con exclusión de sus incisos segundo y tercero:

&quot;Artículo 6.- De la solidaridad, cooperación y asociatividad territorial en el Estado Regional. Las entidades territoriales se coordinan y asocian en relaciones de solidaridad, cooperación, reciprocidad y apoyo mutuo, evitando la duplicidad de funciones, en conformidad a los mecanismos que establezca la ley.&quot; (inciso primero).

&quot;Las asociaciones de entidades territoriales, en ningún caso, alterarán la organización territorial del Estado.&quot; (inciso cuatro).
",APROBADO,149,1,2,3
1206,2286,2022-02-18T16:16:40,"23.- Votación del artículo 7 con la indicación, con la indicación de la CC señora (N°78) VERGARA, modificatoria que indica: 


&quot;Artículo 7.- De la Participación en las entidades territoriales en el Estado Regional. Las entidades territoriales garantizan el derecho de sus habitantes a participar, individual o colectivamente en las decisiones públicas, comprendiendo en ella la formulación, ejecución, evaluación, fiscalización y control democrático de la función pública, con arreglo a la Constitución y las leyes.

      Los pueblos y naciones preexistentes al Estado deberán ser consultados y otorgar el consentimiento libre, previo e informado en aquellas materias o asuntos que les afecten en sus derechos reconocidos en esta Constitución.&quot;

.- Para reemplazar “decisiones públicas” por “decisiones comunes a las personas que habitan el territorio”
",RECHAZADO,22,127,3,3
1205,2287,2022-02-18T16:19:07,"Votación del artículo 7: 


&quot;Artículo 7.- De la Participación en las entidades territoriales en el Estado Regional. Las entidades territoriales garantizan el derecho de sus habitantes a participar, individual o colectivamente en las decisiones públicas, comprendiendo en ella la formulación, ejecución, evaluación, fiscalización y control democrático de la función pública, con arreglo a la Constitución y las leyes.

      Los pueblos y naciones preexistentes al Estado deberán ser consultados y otorgar el consentimiento libre, previo e informado en aquellas materias o asuntos que les afecten en sus derechos reconocidos en esta Constitución.&quot;",APROBADO,107,43,0,5
1204,2288,2022-02-18T16:23:17,"28.- Votación separada del inciso primero del artículo 8: 

&quot;Artículo 8.- Del Desarrollo Territorial. Es deber de las entidades territoriales, en el ámbito de sus competencias, establecer una política permanente de equidad territorial de desarrollo sostenible y armónico con la naturaleza.&quot;",APROBADO,128,14,10,3
1203,2289,2022-02-18T16:25:56,"29.- Votación separada del inciso segundo del artículo 8:

&quot;Las entidades territoriales considerarán para su planificación social, política, administrativa, cultural, territorial y económica los criterios de suficiencia presupuestaria, inclusión e interculturalidad, integración socioespacial, perspectiva de género, enfoque socio ecosistémico, enfoque en derechos humanos y los demás que establezca esta Constitución.&quot;",APROBADO,122,14,14,5
1202,2290,2022-02-18T16:28:59,"30.- Votación del artículo 9:

&quot;Artículo 9.- De la Equidad, Solidaridad y justicia territorial. El Estado garantiza un tratamiento equitativo y un desarrollo armónico y solidario entre las diversas entidades territoriales, propendiendo al interés general, no pudiendo establecer diferencias arbitrarias entre ellas, asegurando a su vez, las mismas condiciones de acceso a los servicios públicos, al empleo y a todas las prestaciones estatales, sin perjuicio del lugar que habiten en el territorio, estableciendo de ser necesario, acciones afirmativas en favor de los grupos empobrecidos e históricamente vulnerados. El Estado de Chile promoverá un desarrollo territorial equitativo, armónico y solidario que permita una integración efectiva de las distintas localidades, tanto urbanas como rurales, promoviendo la equidad horizontal en la provisión de bienes y servicios.&quot;",APROBADO,142,3,6,4
1201,2291,2022-02-18T16:31:46,"31.- Votación del artículo 10:

&quot;Artículo 10.- De la Plurinacionalidad e interculturalidad en el Estado Regional. Las entidades territoriales y sus órganos reconocen, garantizan y promueven en todo su actuar el reconocimiento político y jurídico de los pueblos y naciones preexistentes al Estado que habitan sus territorios; su supervivencia, existencia y desarrollo armónico e integral; la distribución equitativa del poder y de los espacios de participación política; el uso, reconocimiento y promoción de las lenguas indígenas que se hablan en ellas, propiciando el entendimiento intercultural, el respeto de formas diversas de ver, organizar y concebir el mundo y de relacionarse con la naturaleza; la protección y el respeto de los derechos de autodeterminación y de autonomía de los territorios indígenas, en coordinación con el resto de las entidades territoriales.&quot;",APROBADO,111,41,1,2
1200,2292,2022-02-18T16:35:44,"35.- Votación separada del inciso primero del artículo 11:

&quot;Artículo 11.- De la postulación y cesación a los cargos de las entidades territoriales. La elección de las y los representantes por votación popular de las entidades territoriales se efectuará asegurando la paridad de género, la probidad, la representatividad territorial, la pertenencia territorial, avecindamiento y la representación efectiva  de los pueblos y naciones preexistentes al Estado.&quot;
",APROBADO,114,35,3,3
1199,2293,2022-02-18T16:38:44,"36.- Votación separada del inciso segundo del artículo 11:

&quot;La Constitución y la ley establecerán los requisitos para la postulación y las causales de cesación de dichos cargos. La calificación y procedencia de estas causales de cesación se realizará a través de un procedimiento expedito ante la justicia electoral, en conformidad a la ley.&quot;",APROBADO,144,3,3,5
1198,2294,2022-02-18T16:42:38,"37.- Votación del artículo 12, con la indicación (Nº114) del CC señor MENA, que suprime lo que indica: 

&quot;Artículo 12.- Principio de no tutela entre entidades territoriales. Ninguna entidad territorial podrá ejercer cualquier forma de tutela sobre otra entidad territorial, sin perjuicio de la aplicación de los principios de coordinación, de asociatividad, de solidaridad, y los conflictos de competencias que puedan ocasionarse.&quot;

.- Para suprimir, en el artículo 12, la expresión “cualquier forma de” después de la palabra “ejercer”.",APROBADO,120,29,2,4
1197,2295,2022-02-18T16:46:09,"39.- Votación separada del inciso primero del artículo 13:

&quot;Artículo 13.- Correspondencia entre competencias y recursos. Sin perjuicio de las competencias que establece esta Constitución y la ley, el Estado podrá transferir a las entidades territoriales aquellas competencias de titularidad estatal que por su propia naturaleza son susceptibles de transferencia. Estas transferencias deberán ir acompañadas siempre por el personal y los recursos financieros suficientes y oportunos para su adecuada ejecución.&quot;",APROBADO,148,3,0,4
1196,2296,2022-02-18T16:49:13,"40.- Votación separada del inciso segundo del artículo 13:

&quot;Una ley regulará el régimen jurídico del procedimiento de transferencia de competencias y sus sistemas de evaluación y control.&quot;
",APROBADO,149,1,0,5
1195,2297,2022-02-18T16:52:19,"41.- Votación del artículo 14:

&quot;Artículo 14.- Cuestiones de competencia. La ley establecerá el procedimiento para resolución de las distintas contiendas de competencia que se susciten entre el Estado y las entidades territoriales, o entre ellas, las que serán conocidas por el órgano encargado de la justicia constitucional.&quot;",APROBADO,133,2,16,4
1194,2298,2022-02-18T16:55:56,"42.- Votación del artículo 15:

&quot;Artículo 15.- Libertad de circulación entre entidades territoriales. Ninguna entidad territorial o autoridad podrá adoptar medidas que directa o indirectamente impidan el ejercicio de la libertad de movimiento, la libre circulación de bienes y de residencia de las personas al interior de ellas, así como en todo el territorio del Estado, sin perjuicio de las limitaciones contempladas en esta Constitución y la ley.&quot;",RECHAZADO,93,38,18,6
1193,2299,2022-02-18T16:58:42,"43.- Votación del artículo 16:

&quot;Artículo 16.- Radicación preferente de competencias. Las funciones públicas deberán radicarse priorizando la entidad local sobre la regional y ésta última sobre el Estado, sin perjuicio de aquellas competencias que la propia Constitución o las leyes reserven a cada una de estas entidades territoriales. La Región Autónoma o el Estado, cuando así lo exija el interés general, podrán subrogar de manera transitoria y supletoria las competencias que no puedan ser asumidas por la entidad local.&quot;",APROBADO,127,11,14,3
1192,2301,2022-02-18T17:03:53,"45.- Votación del artículo 17:

&quot;Artículo 17.- Diferenciación territorial. El Estado deberá generar políticas públicas diferenciadas y transferir las competencias que mejor se ajusten a las necesidades y particularidades de los entes territoriales, con los respectivos recursos. La ley establecerá los criterios y requisitos para la aplicación de diferencias territoriales, así como los mecanismos de solidaridad y equidad que compensen las desigualdades entre los distintos niveles territoriales.&quot;",APROBADO,145,3,3,4
1191,2302,2022-02-18T17:33:59,"46.- Votación del artículo 18, con la indicación (Nº163) del CC señor MENA, para suprimir la expresión que indica: 

&quot;Artículo 18.- De las Regiones Autónomas. Las Regiones autónomas son entidades políticas y territoriales dotadas de personalidad jurídica de derecho público y patrimonio propio que gozan de autonomía para el desarrollo de los intereses regionales, la gestión de sus recursos económicos y el ejercicio de las atribuciones legislativa, reglamentaria, ejecutiva y fiscalizadora a través de sus órganos en el ámbito de sus competencias, con arreglo a lo dispuesto en la Constitución y la ley.&quot;

.- Para suprimir la palabra “legislativa”.",RECHAZADO,39,98,8,10
1190,2303,2022-02-18T17:36:52,"47.- Votación del artículo 18:

&quot;Artículo 18.- De las Regiones Autónomas. Las Regiones autónomas son entidades políticas y territoriales dotadas de personalidad jurídica de derecho público y patrimonio propio que gozan de autonomía para el desarrollo de los intereses regionales, la gestión de sus recursos económicos y el ejercicio de las atribuciones legislativa, reglamentaria, ejecutiva y fiscalizadora a través de sus órganos en el ámbito de sus competencias, con arreglo a lo dispuesto en la Constitución y la ley.&quot;",APROBADO,105,40,2,8
1189,2304,2022-02-18T17:39:56,"48.- Votación separada del inciso primero del artículo del artículo 20:

&quot;Artículo 20.- Del Estatuto Regional. Cada Región Autónoma establecerá su propio orden político interno regional el que establecerá los principios fundamentales que rigen la organización y funcionamiento de los órganos regionales, además de las normas sobre gobierno, administración y elaboración de la legislación regional.&quot;
",RECHAZADO,78,69,3,5
1188,2305,2022-02-18T17:42:55,"49.- Votación separada del inciso segundo del artículo 20:

&quot;El Estatuto Regional debe responder a los principios del Estado Social de Derechos que la República instituye en esta Constitución y respetar los derechos fundamentales reconocidos en ella, debiendo velar por la democracia regional, cuidando que el pueblo elija sus representantes en elecciones generales, directas, libres, inclusivas, participativas y secretas.&quot;
",RECHAZADO,99,42,11,3
1187,2306,2022-02-18T17:46:04,"50.- Votación separada del inciso primero del artículo 21:

&quot;Artículo 21 (31 TS).- De la elaboración, aprobación y reforma del Estatuto Regional. El Estatuto Regional será elaborado y propuesto por la Asamblea Legislativa Regional respectiva y aprobado con la mayoría absoluta de sus miembros en ejercicio. La propuesta será sometida a un referéndum regional para ser ratificada por la ciudadanía, sin perjuicio del control de constitucionalidad por el órgano competente.&quot;",RECHAZADO,91,57,3,4
1186,2307,2022-02-18T17:48:21,"51.- Votación separada del inciso segundo del artículo 21:

&quot;El proceso de elaboración y reforma del Estatuto Regional deberá garantizar la participación popular, democrática y vinculante de sus habitantes.&quot;
",RECHAZADO,91,55,5,4
1185,2308,2022-02-18T17:50:27,"52.- Votación separada del inciso tercero del artículo 21:

&quot;Desde su publicación, el Estatuto Regional sólo podrá ser reformado mediante el procedimiento que éste establezca.&quot;
",RECHAZADO,85,60,7,3
1184,2309,2022-02-18T17:53:15,"53.- Indicación (N°209) del CC señor CASTILLO, para reemplazar el artículo 22, por el siguiente: 

“Artículo 22.- De las Autoridades Regionales. El gobierno de la región autónoma radica en el gobierno regional, compuesto del gobernador regional y del consejo regional.”
",RECHAZADO,40,107,4,4
1183,2310,2022-02-18T17:55:22,"54.- Votación del artículo 22:

&quot;Artículo 22.- De la Autoridades Regionales. La organización institucional de las Regiones Autónomas se compone del Gobierno Regional, de la Asamblea Legislativa Regional y del Consejo Social Regional.&quot;",RECHAZADO,91,58,3,3
1182,2311,2022-02-18T17:58:33,"55.- Votación separada del inciso primero del artículo 23, con la indicación (N°215), del CC CASTILLO, para reemplazar las expresiones que indica:

&quot;Artículo 23.- Del Gobierno Regional. El Gobierno Regional es el órgano ejecutivo de la Región Autónoma.&quot;

.- Reemplazar las palabras “El Gobierno Regional” por “La gobernadora o gobernador regional”.",RECHAZADO,44,100,9,2
1181,2312,2022-02-18T18:00:49,"56.- Votación separada del inciso primero del artículo 23:

&quot;Artículo 23 (33 TS).- Del Gobierno Regional. El Gobierno Regional es el órgano ejecutivo de la Región Autónoma.&quot;",APROBADO,124,11,16,4
1180,2313,2022-02-18T18:03:09,"RETIRADA


58.- Votación separada del inciso segundo del artículo 23:

&quot;Una Gobernadora o Gobernador Regional dirigirá el Gobierno Regional, ejerciendo la función administrativa y reglamentaria y representará a la Región autónoma ante las demás autoridades nacionales e internacionales, en el marco de la política nacional de relaciones internacionales con funciones de coordinación e intermediación entre el gobierno central y la región. La Gobernadora o Gobernador regional tendrá la representación judicial y extrajudicial de la región.&quot;",APROBADO,110,38,4,3
1179,2314,2022-02-18T18:05:50,"59.- Votación del resto del artículo 23 (incisos tercero, cuarto y quinto, en su texto original):

&quot;En la elección de Gobernadora o Gobernador Regional, resultará electo quien obtenga la mayoría de los votos válidamente emitidos, pero si ningún candidato logra al menos el cuarenta por ciento de los votos se producirá una segunda votación entre los candidatos o candidatas que hayan obtenido las dos más altas mayorías, resultando elegido el que obtuviere la mayoría de los votos válidamente emitidos.

La Gobernadora o Gobernador Regional ejercerá sus funciones por el término de cuatro años, pudiendo ser reelegido o reelegida consecutivamente sólo una vez para el período siguiente. En este caso, se considerará que se ha ejercido el cargo durante un período cuando el Gobernador o Gobernadora Regional haya cumplido más de la mitad del mandato.

     La Gobernadora o Gobernador regional, será elegido en votación directa, en conformidad con lo dispuesto en la Constitución y la ley.&quot;",APROBADO,146,2,4,3
1178,2315,2022-02-18T18:08:38,"60.- Votación separada del inciso primero del artículo 24:

&quot;Artículo 24.- Del Consejo de Alcaldes y Alcaldesas. El Consejo de Alcaldes y Alcaldesas es un órgano de carácter consultivo que estará integrado por los alcaldes y alcaldesas de todas las comunas de la región autónoma y de las ciudades respectivas, el cual será coordinado por quien determinen sus integrantes por mayoría absoluta.&quot;",APROBADO,113,9,28,5
1177,2316,2022-02-18T18:11:27,"61.- Votación separada del inciso segundo del artículo 24:

     &quot;El Consejo deberá sesionar y abordar las problemáticas de la región autónoma, promover una coordinación efectiva entre los distintos órganos con presencia regional y fomentar una cooperación eficaz entre los gobiernos locales en la forma que determine la ley.&quot;",APROBADO,136,8,7,4
1176,2317,2022-02-18T18:17:12,"62.- Votación separada del inciso primero del artículo 26, con la Indicación (Nº303) del CC señor MENA, para suprimir, en el inciso primero del artículo 26, la expresión “del control y de la fiscalización ciudadana de la función pública

&quot;Artículo 26.- Del Consejo Social Regional. El Consejo Social Regional es el órgano encargado de promover la participación popular en los asuntos públicos, del control y de la fiscalización ciudadana de la función pública.&quot;",RECHAZADO,52,98,2,3
1175,2318,2022-02-18T18:19:44,".- Votación separada del inciso primero del artículo 26:

&quot;Artículo 26 (40 TS).- Del Consejo Social Regional. El Consejo Social Regional es el órgano encargado de promover la participación popular en los asuntos públicos, del control y de la fiscalización ciudadana de la función pública.&quot;
",RECHAZADO,95,37,19,4
1174,2319,2022-02-18T18:22:49,"66.- Votación separada del inciso segundo del artículo 26:

     &quot;Su organización e integración será representativa de las organizaciones de la sociedad civil, considerando paridad de género, plurinacionalidad y la representación de al menos un representante de las asambleas sociales comunales en su configuración. Su duración, composición y los procedimientos de elección serán determinados por los Estatutos Regionales.&quot;",RECHAZADO,96,52,3,4
1173,2320,2022-02-18T18:25:09,"67.- Votación separada del inciso tercero del artículo 26:

     &quot;Sus competencias serán consultivas, participativas e incidentes respecto de las estrategias de desarrollo y financiamiento regional, instrumentos de planificación y ordenamiento territorial, Presupuesto Regional Anual, y otras reguladas por el Estatuto Regional.&quot;",RECHAZADO,97,48,7,3
1171,2321,2022-02-18T18:30:07,"69.- Votación separada del inciso quinto del artículo 26:

     &quot;El Gobernador o Gobernadora Regional y las jefaturas de los servicios públicos regionales deberán rendir cuenta ante la Asamblea Social Regional, a lo menos, una vez al año de la ejecución presupuestaria y el desarrollo de proyectos en los términos prescritos por el Estatuto Regional.&quot;",RECHAZADO,89,54,6,6
